"Site","Inches"
"South End - Union Park St. Playground","41.08"
"Roslindale - Roslindale Sq.","46.50"
"Dorchester - Adams Village","43.55"
"Allston - Union Sq.","40.10"
"Hyde Park - Cleary Sq.","45.09"
"Mattapan - Harambee Park","7.48"
"Charlestown - Bunker Hill","39.23"
"Fenway - Longwood Medical Area","40.40"
"East Boston - Day Sq.","6.46"
"Roxbury - Egleston Sq.","7.92"
