"Site","Inches"
"South End - Union Park St. Playground","59.29"
"Roslindale - Roslindale Sq.","55.85"
"Dorchester - Adams Village","56.02"
"Allston - Union Sq.","60.63"
"Hyde Park - Cleary Sq.","64.71"
"Mattapan - Harambee Park","62.56"
"Charlestown - Bunker Hill","57.75"
"Fenway - Longwood Medical Area","60.97"
