"Site","Inches"
"South End - Union Park St. Playground","54.11"
"Roslindale - Roslindale Sq.","58.96"
"Dorchester - Adams Village","50.33"
"Allston - Union Sq.","37.12"
"Hyde Park - Cleary Sq.","57.58"
"Mattapan - Harambee Park","50.32"
"Charlestown - Bunker Hill","50.94"
"Fenway - Longwood Medical Area","51.01"
"East Boston - Day Sq.","53.32"
"Roxbury - Egleston Sq.","57.33"
