"Site","Inches"
"South End - Union Park St. Playground","59.50"
"Roslindale - Roslindale Sq.","61.60"
"Allston - Union Sq.","56.88"
"Hyde Park - Cleary Sq.","59.96"
"Mattapan - Harambee Park","56.16"
"East Boston - Day Sq.","58.02"
"Roxbury - Egleston Sq.","0.52"
