"Site","Inches"
"South End - Union Park St. Playground","9.03"
"Roslindale - Roslindale Sq.","9.76"
"Dorchester - Adams Village","8.68"
"Allston - Union Sq.","8.18"
"Hyde Park - Cleary Sq.","8.97"
"Mattapan - Harambee Park","9.22"
"Charlestown - Bunker Hill","7.71"
"Fenway - Longwood Medical Area","8.45"
"East Boston - Day Sq.","8.33"
"Roxbury - Egleston Sq.","8.99"
