"Site","Inches"
"South End - Union Park St. Playground","39.59"
"Roslindale - Roslindale Sq.","41.66"
"Dorchester - Adams Village","42.77"
"Allston - Union Sq.","36.14"
"Hyde Park - Cleary Sq.","42.69"
"Mattapan - Harambee Park","40.79"
"Charlestown - Bunker Hill","35.52"
"Fenway - Longwood Medical Area","36.32"
