"Site","Inches"
"South End - Union Park St. Playground","12.36"
"Roslindale - Roslindale Sq.","41.15"
"Dorchester - Adams Village","13.19"
"Allston - Union Sq.","32.58"
"Hyde Park - Cleary Sq.","37.18"
"Mattapan - Harambee Park","36.72"
"Charlestown - Bunker Hill","11.16"
"Fenway - Longwood Medical Area","11.68"
"East Boston - Day Sq.","31.08"
"Roxbury - Egleston Sq.","12.40"
