"Site","Inches"
"South End - Union Park St. Playground","53.59"
"Roslindale - Roslindale Sq.","57.66"
"Dorchester - Adams Village","54.68"
"Allston - Union Sq.","55.20"
"Hyde Park - Cleary Sq.","54.53"
"Mattapan - Harambee Park","55.16"
"Charlestown - Bunker Hill","49.77"
"Fenway - Longwood Medical Area","55.36"
"East Boston - Day Sq.","50.47"
"Roxbury - Egleston Sq.","48.47"
