"Site","Inches"
"South End - Union Park St. Playground","0.00"
"Roslindale - Roslindale Sq.","0.00"
"Dorchester - Adams Village","1.72"
"Allston - Union Sq.","2.39"
"Hyde Park - Cleary Sq.","0.00"
"Mattapan - Harambee Park","0.00"
"Charlestown - Bunker Hill","3.34"
"Fenway - Longwood Medical Area","0.00"
