"Site","Inches"
"South End - Union Park St. Playground","46.02"
"Roslindale - Roslindale Sq.","46.90"
"Dorchester - Adams Village","47.14"
"Allston - Union Sq.","43.22"
"Hyde Park - Cleary Sq.","46.33"
"Mattapan - Harambee Park","45.02"
"Charlestown - Bunker Hill","43.80"
"Fenway - Longwood Medical Area","31.44"
