"Site","Inches"
"South End - Union Park St. Playground","40.87"
"Roslindale - Roslindale Sq.","40.66"
"Dorchester - Adams Village","37.34"
"Allston - Union Sq.","40.40"
"Hyde Park - Cleary Sq.","40.01"
"Mattapan - Harambee Park","39.42"
"Charlestown - Bunker Hill","39.63"
"Fenway - Longwood Medical Area","38.14"
