"Site","Inches"
"South End - Union Park St. Playground","23.66"
"Roslindale - Roslindale Sq.","24.65"
"Dorchester - Adams Village","22.47"
"Allston - Union Sq.","29.40"
"Hyde Park - Cleary Sq.","28.77"
"Mattapan - Harambee Park","17.90"
"Charlestown - Bunker Hill","28.18"
"Fenway - Longwood Medical Area","13.93"
