"Site","Inches"
"South End - Union Park St. Playground","40.80"
"Roslindale - Roslindale Sq.","47.37"
"Allston - Union Sq.","39.04"
"Hyde Park - Cleary Sq.","50.35"
"Mattapan - Harambee Park","45.21"
"Charlestown - Bunker Hill","22.28"
"Fenway - Longwood Medical Area","18.76"
"East Boston - Day Sq.","40.08"
"Roxbury - Egleston Sq.","43.00"
