"Site","Inches"
"South End - Union Park St. Playground","33.89"
"Roslindale - Roslindale Sq.","31.01"
"Dorchester - Adams Village","32.69"
"Allston - Union Sq.","32.93"
"Hyde Park - Cleary Sq.","35.54"
"Mattapan - Harambee Park","15.25"
"Charlestown - Bunker Hill","33.28"
"Fenway - Longwood Medical Area","27.81"
